_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
72,92 Jane Street,SB,2019-08-02T03:00:00,61,"{u'type': u'Point', u'coordinates': (-79.485482, 43.65153)}",30,Weekdays from 7 AM - 9 PM,144,Jane St SB ,60,2018-01-22T11:00:00,66.0,4
73,178 Sunnyside Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.450555, 43.64381)}",20,Weekdays from 7 AM - 9 PM,146,Sunnyside Ave SB ,30,2019-04-11T10:00:00,36.0,4
74,158 Sunnyside Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.450178, 43.643047)}",20,Weekdays from 7 AM - 9 PM,151,Sunnyside Ave NB ,30,2019-04-11T09:00:00,36.0,4
75,125 Varsity Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.498917, 43.66192)}",20,Weekdays from 7 AM - 9 PM,168,Varsity Rd WB ,30,2017-12-13T11:00:00,36.0,4
76,207 Windermere Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.476273, 43.642751)}",20,Weekdays from 7 AM - 9 PM,228,Windermere Ave NB ,30,2018-01-24T12:00:00,36.0,4
77,214 Windermere Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.478022, 43.643963)}",20,Weekdays from 7 AM - 9 PM,237,Windermere Ave SB ,30,2018-01-24T12:00:00,36.0,4
78,333 Runnymede Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.477359, 43.654033)}",30,Weekdays from 7 AM - 9 PM,272,Runnymede Rd NB ,40,2018-12-05T11:00:00,46.0,4
79,236 Annette Street,EB,,41,"{u'type': u'Point', u'coordinates': (-79.47079, 43.662649)}",30,Weekdays from 7 AM - 9 PM,309,Annette St EB ,40,2019-03-07T10:00:00,46.0,4
80,30 Marmaduke Street,WB,2018-07-03T08:00:00,31,"{u'type': u'Point', u'coordinates': (-79.4512990085, 43.6504567511)}",20,Weekdays from 7 AM - 9 PM,362,Marmaduke St WB ,30,2018-02-02T15:00:00,36.0,4
81,18 Rexford Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.486237, 43.663628)}",30,Weekdays from 7 AM - 9 PM,375,Rexford Dr EB ,40,2019-03-11T07:00:00,46.0,4
82,34 Brookside Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.491918, 43.6608)}",30,Weekdays from 7 AM - 9 PM,431,Brookside Ave SB ,40,2018-11-02T12:00:00,46.0,4
83,1577 Bloor Street West ,EB,,41,"{u'type': u'Point', u'coordinates': (-79.4545550795, 43.6558298626)}",5,Weekdays from 7 AM - 9 PM,488,Bloor St W EB ,40,2016-12-15T11:00:00,46.0,4
84,225 Garden Avenue,EB,,31,"{u'type': u'Point', u'coordinates': (-79.448613, 43.642732)}",20,Weekdays from 7 AM - 9 PM,520,Galley Ave EB ,30,2019-04-11T10:00:00,36.0,4
